CustomerID,RegistrationDate,Age,gender,occupation,income
CID-710059,12/8/2015,33,F,Others,597932
CID-298375,4/18/2014,17,F,Employee,166391
CID-744771,2/26/2014,15,F,Others,257884
CID-242453,2/2/2015,38,M,SelfEmployed,467723
CID-195730,9/24/2014,16,F,Employee,829196
CID-705888,2/1/2015,3,F,Employee,391000
CID-138704,3/15/2014,30,F,Employee,284098
CID-715375,9/2/2016,22,M,Business,661156
CID-460550,5/3/2013,35,M,Business,720489
CID-744747,1/20/2016,25,M,Employee,220822
CID-619500,9/23/2014,5,F,Employee,355971
CID-373396,9/7/2013,12,M,Business,246198
CID-246238,3/23/2015,29,F,Business,176658
CID-270354,3/29/2014,31,F,Others,26977
CID-844146,9/17/2015,20,F,SelfEmployed,720732
CID-888898,3/26/2016,30,F,SelfEmployed,809772
CID-499311,7/23/2016,24,M,Business,815212
CID-286919,8/4/2014,12,F,Business,657921
CID-146649,11/27/2015,24,F,SelfEmployed,747809
CID-14773,6/6/2016,7,F,Others,886035
CID-269465,1/3/2013,7,M,Employee,456804
CID-755389,11/21/2014,24,M,SelfEmployed,641583
CID-457327,2/3/2014,40,M,Others,170801
CID-78996,12/9/2015,40,M,Employee,225330
CID-859651,8/31/2015,22,F,Employee,764110
CID-571601,8/19/2013,16,F,SelfEmployed,223491
CID-409167,7/8/2013,29,F,Employee,317556
CID-80683,7/3/2015,36,M,Others,274667
CID-664076,10/20/2013,38,M,Employee,341300
CID-599715,10/5/2015,39,F,SelfEmployed,61812
CID-267483,12/1/2014,25,F,SelfEmployed,46533
CID-422091,8/28/2015,33,M,Business,182587
CID-716002,7/3/2016,25,F,Business,867447
CID-270260,7/13/2014,11,F,Others,649243
CID-48943,6/17/2013,21,F,SelfEmployed,440650
CID-804800,11/13/2013,9,F,Employee,380496
CID-716959,4/8/2015,15,F,Business,766092
CID-342757,7/26/2016,23,M,Employee,254968
CID-257331,1/27/2016,41,M,Employee,838929
CID-154290,12/10/2013,1,F,Others,677123
CID-37099,10/3/2015,2,M,Employee,176147
CID-325685,1/1/2015,2,F,Business,576608
CID-885318,5/3/2016,4,F,Employee,22787
CID-870597,12/18/2014,34,M,Employee,87460
CID-665756,3/19/2016,32,F,SelfEmployed,396761
CID-140804,1/22/2016,12,F,SelfEmployed,296802
CID-638400,1/20/2015,13,M,Others,653628
CID-648571,2/1/2016,30,M,Others,475629
CID-701495,5/6/2013,4,M,SelfEmployed,10638
CID-135799,2/5/2016,40,M,Employee,870353
CID-497979,4/4/2013,29,F,Business,185654
CID-754120,9/1/2014,16,F,Others,527702
CID-861499,11/9/2015,1,M,Employee,663980
CID-258734,7/19/2015,19,M,SelfEmployed,219722
CID-755701,4/25/2015,9,M,Others,308555
CID-366941,6/26/2014,5,F,Business,831424
CID-847361,11/21/2014,28,F,Employee,120773
CID-540920,4/16/2013,20,F,Employee,246090
CID-195043,3/13/2013,40,M,Business,177581
CID-581804,2/2/2014,3,M,Business,297330
CID-47653,3/22/2014,3,M,Others,219766
CID-4106,11/17/2015,38,M,SelfEmployed,697407
CID-743624,7/15/2014,9,F,SelfEmployed,378219
CID-549671,6/9/2014,24,M,SelfEmployed,667776
CID-673671,3/21/2013,36,M,Employee,699777
CID-327618,6/15/2015,41,M,SelfEmployed,715754
CID-383430,10/3/2015,15,M,Others,454061
CID-548028,5/19/2013,41,M,Employee,512715
CID-855426,12/25/2013,7,M,Business,175036
CID-409866,10/10/2015,4,M,Employee,725606
CID-818460,1/6/2015,34,M,SelfEmployed,129490
CID-700117,8/3/2015,15,F,Others,787766
CID-864376,6/10/2013,40,F,Business,760411
CID-451540,3/15/2014,12,M,SelfEmployed,561421
CID-359610,8/20/2016,33,M,Business,84197
CID-736843,3/16/2016,31,F,Business,355549
CID-698386,11/7/2014,14,F,Business,277881
CID-33846,1/20/2016,1,F,Others,198894
CID-390214,8/16/2013,29,F,Employee,629317
CID-124718,4/5/2014,11,F,Employee,90729
CID-91158,7/17/2013,27,M,SelfEmployed,540049
CID-600120,9/14/2015,41,F,Employee,24093
CID-250768,8/18/2015,9,M,Business,515927
CID-879780,8/9/2014,24,F,Others,25412
CID-847106,3/31/2014,12,F,Others,628631
CID-126005,8/10/2016,3,F,Employee,177746
CID-544328,5/14/2015,31,M,SelfEmployed,399246
CID-256112,7/13/2013,38,M,Others,454382
CID-637548,1/6/2014,22,M,Employee,227237
CID-600250,5/31/2016,14,F,Employee,19501
CID-617352,6/2/2016,16,M,Others,698695
CID-310660,5/10/2015,40,M,Business,217400
CID-673748,7/28/2016,30,M,SelfEmployed,685658
CID-200906,6/30/2015,26,M,Employee,706921
CID-381462,8/20/2013,14,F,Employee,276140
CID-717927,12/7/2015,7,F,Employee,735412
CID-705866,8/19/2014,29,F,Others,585708
CID-826606,2/2/2014,37,F,Employee,679148
CID-831912,12/10/2014,31,F,Others,366632
CID-301045,5/9/2015,37,M,SelfEmployed,32522
CID-250458,5/18/2013,7,F,SelfEmployed,324007
CID-839163,6/11/2015,1,F,SelfEmployed,656627
CID-726124,5/12/2014,29,F,Business,267201
CID-700090,5/14/2014,7,M,Others,504244
CID-782566,12/7/2013,2,M,Others,592120
CID-666588,5/23/2014,13,M,Business,245962
CID-728317,10/7/2015,8,F,SelfEmployed,15236
CID-250024,9/29/2013,35,F,Business,765460
CID-551836,1/1/2013,1,F,Others,841377
CID-102944,8/10/2014,34,M,Business,565653
CID-31764,3/25/2014,32,M,Others,437799
CID-143051,1/17/2013,13,M,Employee,740900
CID-494362,8/8/2014,20,F,Employee,518888
CID-718316,1/28/2014,18,F,SelfEmployed,799822
CID-567128,2/25/2016,23,F,Others,316846
CID-198733,12/27/2015,40,F,Others,537248
CID-52747,5/2/2015,30,M,Others,102466
CID-810941,6/24/2016,8,M,Business,738213
CID-55261,11/20/2014,41,M,SelfEmployed,239210
CID-267360,4/16/2014,25,F,Business,788456
CID-895861,10/13/2014,24,M,Others,653151
CID-760717,7/24/2016,15,M,SelfEmployed,34035
CID-190100,3/12/2015,8,M,Business,804501
CID-302888,4/24/2016,14,M,Employee,228671
CID-120202,10/4/2014,41,M,Others,888812
CID-698732,11/13/2014,4,F,SelfEmployed,587700
CID-476678,9/2/2014,7,F,Employee,409280
CID-744030,5/17/2016,22,F,Employee,231758
CID-269220,12/9/2013,11,F,Others,464497
CID-128079,6/18/2015,39,M,Employee,629154
CID-790665,6/22/2013,39,F,SelfEmployed,643898
CID-674069,7/4/2015,37,F,Business,315672
CID-151377,6/7/2015,30,M,SelfEmployed,490498
CID-860623,1/28/2016,9,M,Business,521978
CID-718095,9/12/2015,22,F,Business,829012
CID-340654,6/19/2015,36,M,Employee,44299
CID-36675,2/3/2014,4,F,Others,786058
CID-718652,8/4/2013,12,F,Others,277730
CID-781273,7/7/2014,2,M,Employee,802005
CID-664885,2/13/2016,30,F,Employee,307143
CID-111657,10/26/2015,40,F,SelfEmployed,652626
CID-321899,2/22/2015,41,F,Business,211470
CID-329416,4/18/2014,27,M,Others,709840
CID-622174,7/8/2014,18,F,Others,869682
CID-786880,6/26/2015,4,M,Business,515445
CID-865115,5/18/2014,22,F,Employee,126875
CID-480026,1/29/2015,29,M,SelfEmployed,577538
CID-345367,12/9/2013,2,F,SelfEmployed,885466
CID-510108,8/15/2013,18,F,Business,221653
CID-348043,2/12/2014,32,F,Others,187856
CID-242863,6/1/2013,18,F,Employee,108432
CID-453098,8/20/2013,22,F,Others,700572
CID-174780,3/14/2013,27,F,Business,290405
CID-877665,9/17/2015,11,F,Business,81390
CID-674763,3/8/2013,35,F,Employee,74958
CID-15444,4/1/2015,29,M,SelfEmployed,104527
CID-462611,10/5/2015,22,M,Employee,303514
CID-171905,7/22/2016,16,M,Others,652443
CID-345749,3/30/2015,37,M,Business,532375
CID-796409,12/21/2014,36,F,Business,175857
CID-660852,9/19/2015,35,M,Employee,587691
CID-406419,4/1/2015,31,M,Others,86200
CID-272291,6/28/2015,18,F,Business,258415
CID-42245,3/19/2014,39,M,SelfEmployed,356555
CID-133606,8/25/2014,17,F,Business,352535
CID-846323,9/7/2015,39,M,Business,123700
CID-446750,2/5/2013,18,F,SelfEmployed,203360
CID-720614,10/19/2014,2,M,Employee,886240
CID-681771,12/18/2014,32,M,Others,858383
CID-552537,9/30/2015,19,F,Employee,876246
CID-78377,2/9/2014,18,M,Business,382700
CID-127440,1/14/2013,23,M,Others,871901
CID-528890,6/30/2013,39,M,SelfEmployed,523849
CID-305710,10/1/2013,25,F,SelfEmployed,795423
CID-675377,7/27/2013,36,F,Business,470748
CID-159778,7/2/2015,29,M,Employee,142633
CID-75298,7/22/2014,24,M,Others,823015
CID-386830,11/27/2015,32,M,Business,184314
CID-628,1/14/2016,1,F,SelfEmployed,788713
CID-239997,12/15/2014,2,M,Employee,585805
CID-330622,7/14/2016,5,M,SelfEmployed,578240
CID-695645,11/24/2015,17,M,Business,689715
CID-743343,9/12/2013,18,F,Employee,838782
CID-845940,7/24/2014,18,M,SelfEmployed,875298
CID-573053,8/3/2013,21,M,SelfEmployed,256559
CID-461841,7/23/2014,16,F,Others,357656
CID-358724,3/21/2014,36,M,SelfEmployed,80775
CID-247569,6/1/2013,22,M,Employee,707520
CID-150729,11/28/2014,3,F,Employee,334666
CID-271044,5/16/2015,13,F,Employee,813364
CID-211902,6/21/2016,12,F,Others,260783
CID-417220,8/23/2015,14,F,Others,327732
CID-149478,5/7/2013,33,F,Employee,584576
CID-470819,2/12/2013,1,M,SelfEmployed,4512
CID-234087,9/25/2014,7,F,Business,413828
CID-390940,9/10/2013,27,M,SelfEmployed,207334
CID-246770,9/16/2015,32,M,Employee,653604
CID-582651,10/7/2013,32,M,SelfEmployed,71432
CID-533959,7/30/2013,32,F,Business,162159
CID-136765,9/29/2015,10,F,Employee,187156
CID-72997,9/21/2016,15,F,SelfEmployed,464162
CID-548153,3/11/2015,25,F,Employee,91266
CID-390750,1/6/2014,21,M,Others,868372
CID-573974,9/9/2013,34,F,Business,287936
CID-503811,3/13/2013,35,M,Employee,854135
CID-496270,4/13/2013,6,F,SelfEmployed,860918
CID-826025,10/2/2015,19,M,Business,695976
CID-403934,9/12/2013,32,F,Employee,223935
CID-636239,8/10/2015,24,M,Others,347078
CID-237203,4/10/2016,35,M,Others,628579
CID-123660,8/11/2014,26,F,SelfEmployed,628408
CID-340613,5/4/2016,5,M,SelfEmployed,56823
CID-44275,8/18/2015,22,M,SelfEmployed,2617
