CustomerID,SavingsID,AvgBalance
CID-265326,SID-208023,13072
CID-698376,SID-4281,85416
CID-586238,SID-634078,38253
CID-832479,SID-26588,42273
CID-654205,SID-874719,43514
CID-569673,SID-867282,45925
CID-160486,SID-815942,24425
CID-364099,SID-701180,78331
CID-637790,SID-191679,90577
CID-149215,SID-181077,67336
CID-848095,SID-559909,1774
CID-766331,SID-621464,89886
CID-580699,SID-197733,51846
CID-199171,SID-434523,43600
CID-18750,SID-434274,82143
CID-499115,SID-260104,97412
CID-542616,SID-275222,46271
CID-700090,SID-378862,55936
CID-212254,SID-82283,6619
CID-605079,SID-764876,89240
CID-560124,SID-636856,93547
CID-54901,SID-34685,80017
CID-873914,SID-114667,13944
CID-124232,SID-822666,41872
CID-555458,SID-286011,17670
CID-347372,SID-163545,82148
CID-633920,SID-555313,8977
CID-558365,SID-121292,87492
CID-501871,SID-792487,95145
CID-653932,SID-150038,44407
CID-48292,SID-380266,26089
CID-791570,SID-442287,87578
CID-832350,SID-356077,710
CID-269672,SID-74419,14431
CID-183800,SID-573267,34116
CID-148412,SID-875241,75544
CID-453098,SID-200163,20611
CID-639524,SID-457415,97757
CID-735964,SID-767390,86835
CID-510971,SID-619401,90638
CID-428707,SID-264975,6472
CID-450455,SID-238610,79591
CID-897923,SID-267305,83928
CID-335329,SID-144713,28422
CID-822798,SID-265702,41809
CID-569271,SID-614068,48566
CID-644829,SID-723638,66221
CID-12622,SID-813912,9774
CID-116234,SID-85516,80748
CID-572902,SID-631543,14443
CID-661081,SID-508077,20976
CID-110442,SID-510120,99276
CID-593775,SID-163819,22401
CID-508478,SID-343175,43170
CID-38659,SID-177012,18962
CID-715568,SID-401238,10503
CID-711813,SID-588080,602
CID-869359,SID-109619,28381
CID-556787,SID-234002,62066
CID-836257,SID-510290,42202
CID-517989,SID-234113,58119
CID-86366,SID-231152,3618
CID-299307,SID-252010,46754
CID-819552,SID-507396,41336
CID-604728,SID-164471,72309
CID-481877,SID-478550,30426
CID-669650,SID-440879,49703
CID-288717,SID-326597,85028
CID-177028,SID-763194,79326
CID-285665,SID-420548,79673
CID-368362,SID-334986,1325
CID-473941,SID-879597,30924
CID-705139,SID-411011,29935
CID-30547,SID-413172,88874
CID-701495,SID-639572,60684
CID-715193,SID-822371,86854
CID-546784,SID-500344,80611
CID-13682,SID-8260,29377
CID-176423,SID-2425,32243
CID-238055,SID-75585,31075
CID-209645,SID-823218,95013
CID-776608,SID-689587,20263
CID-156609,SID-719133,57654
CID-306668,SID-462687,13473
CID-322186,SID-189357,56678
CID-107918,SID-693048,62197
CID-341727,SID-771025,43687
CID-764541,SID-508400,36269
CID-440494,SID-214171,32953
CID-478288,SID-55726,52279
CID-740586,SID-60951,95417
CID-645629,SID-558267,39243
CID-701942,SID-60234,54691
CID-117303,SID-206684,5641
CID-784098,SID-519960,48840
CID-599372,SID-90071,71228
CID-359746,SID-240740,84772
CID-40611,SID-650340,23315
CID-501499,SID-264196,20737
CID-40336,SID-380030,66572
CID-624345,SID-478168,81542
CID-513443,SID-425284,16483
CID-847477,SID-420402,29074
CID-219534,SID-718537,43893
CID-181143,SID-761381,35155
CID-437068,SID-267814,68528
CID-880687,SID-186076,51627
CID-116735,SID-7593,70788
CID-839880,SID-526405,5299
CID-648167,SID-461605,56011
CID-246128,SID-689760,61798
CID-388399,SID-94170,70333
CID-578273,SID-733438,80932
CID-705866,SID-828058,89904
CID-751588,SID-785133,27923
CID-666499,SID-17023,53941
CID-574140,SID-136310,47434
CID-486641,SID-63919,62068
CID-110240,SID-192519,52887
CID-223128,SID-717399,18515
CID-120346,SID-439239,98579
CID-666020,SID-538904,68317
CID-570806,SID-440222,62907
CID-68687,SID-279797,70455
CID-735890,SID-81862,93284
CID-852320,SID-389071,58838
CID-754999,SID-806948,51133
CID-209922,SID-207919,85343
CID-626714,SID-410677,59373
CID-226134,SID-886393,86809
CID-798581,SID-422451,90022
CID-558733,SID-381098,81916
CID-93212,SID-664042,46878
CID-552569,SID-777031,7929
CID-315295,SID-714119,28996
CID-491792,SID-71754,47944
CID-143729,SID-147802,1092
CID-285747,SID-224940,60019
CID-891477,SID-249713,32066
CID-607169,SID-1491,8979
CID-783504,SID-637031,40290
CID-128781,SID-667592,24313
CID-162644,SID-657192,9412
CID-643194,SID-653091,72411
CID-771100,SID-475422,44384
CID-302749,SID-459482,27752
CID-828052,SID-792797,77385
CID-896050,SID-194212,54269
CID-863940,SID-451812,80528
CID-661950,SID-51554,46986
CID-798483,SID-392455,18167
CID-126410,SID-182028,38986
CID-725535,SID-279274,54694
CID-785603,SID-711359,44817
CID-67811,SID-396742,42137
CID-334271,SID-625880,91324
CID-775525,SID-560091,1575
CID-143190,SID-333338,9855
CID-595897,SID-165275,20400
CID-595565,SID-370281,63516
CID-486747,SID-134575,83697
CID-272490,SID-513787,34869
CID-882091,SID-526645,39016
CID-663309,SID-650941,23387
CID-271044,SID-170353,18923
CID-384856,SID-391899,58092
CID-53081,SID-808763,31543
CID-634031,SID-530984,94719
CID-75640,SID-397626,43961
CID-308711,SID-614558,33958
CID-235138,SID-579434,9569
CID-43867,SID-732181,34896
CID-167922,SID-79787,942
CID-175292,SID-381988,30282
CID-164152,SID-813573,60130
CID-202540,SID-59985,18921
CID-557548,SID-205286,54373
CID-331443,SID-565161,77696
CID-735068,SID-134,56054
CID-847906,SID-264844,68700
CID-831986,SID-842498,54301
CID-541013,SID-110034,19491
CID-498370,SID-79036,27755
CID-436063,SID-771,66633
CID-410304,SID-768368,94380
CID-313240,SID-74592,46625
CID-425149,SID-254864,59704
CID-4636,SID-29488,75897
CID-807451,SID-878218,63497
CID-695344,SID-510055,12563
CID-385695,SID-323041,17572
CID-59890,SID-691158,584
CID-468455,SID-226419,22120
CID-210621,SID-46328,35504
CID-185617,SID-185420,20732
CID-18068,SID-325288,85294
CID-671846,SID-603459,85544
CID-508670,SID-163838,11377
CID-82226,SID-749802,50699
CID-845940,SID-887098,27642
CID-164360,SID-310758,58983
CID-754185,SID-337107,55407
CID-686677,SID-404425,72777
CID-89044,SID-223401,94858
CID-218795,SID-462225,98109
CID-852978,SID-204145,9359
CID-666094,SID-170499,20161
CID-207316,SID-887748,81642
CID-585003,SID-669846,20587
CID-441436,SID-238284,85472
CID-84457,SID-118888,6322
CID-198960,SID-95588,90586
CID-518403,SID-317463,53856
CID-20554,SID-269564,80501
CID-61850,SID-705205,14874
CID-717597,SID-77735,17531
CID-879196,SID-304212,96484
CID-277273,SID-102835,2412
CID-117048,SID-209967,68758
CID-165601,SID-180407,73793
CID-202476,SID-73290,71426
CID-612288,SID-692228,70421
CID-511378,SID-232560,50043
CID-726991,SID-809628,49147
CID-762579,SID-776664,71271
CID-129437,SID-545684,38791
CID-835629,SID-292983,93535
CID-314885,SID-200666,40055
CID-849618,SID-861729,39277
CID-691422,SID-692389,61664
CID-142972,SID-523251,91953
CID-97319,SID-745172,46641
CID-640339,SID-336701,47028
CID-484072,SID-836297,79428
CID-379335,SID-425649,55939
CID-143220,SID-245025,7261
CID-675467,SID-647134,73394
CID-716002,SID-219815,62569
CID-677982,SID-229788,72831
CID-717117,SID-89931,34073
CID-442799,SID-610038,14954
CID-227585,SID-567953,64452
CID-880479,SID-824911,72929
CID-185910,SID-698741,96135
CID-331168,SID-590935,96454
CID-236328,SID-83906,11005
CID-748271,SID-841494,78141
CID-468199,SID-795614,46046
CID-830426,SID-157184,87199
CID-506017,SID-819532,80123
CID-158828,SID-845536,49669
CID-175789,SID-387896,47224
CID-224173,SID-319663,78268
CID-447883,SID-579124,53082
CID-810663,SID-602471,88577
CID-566892,SID-456554,15143
CID-663582,SID-515309,6108
CID-327653,SID-778681,78802
CID-110912,SID-565853,29188
CID-407610,SID-184723,12372
CID-449857,SID-417621,30097
CID-497189,SID-552077,86952
CID-85673,SID-713204,42586
CID-879820,SID-83670,57034
CID-887778,SID-164012,81938
CID-728317,SID-366902,87618
CID-138817,SID-435676,90901
CID-440455,SID-41760,6745
CID-268372,SID-4180,83821
CID-70901,SID-312884,80686
CID-771349,SID-761601,94331
CID-616314,SID-19775,9189
CID-491,SID-713280,20985
CID-79732,SID-620029,28232
CID-390289,SID-820100,27065
CID-445799,SID-254120,77759
CID-242863,SID-16016,87080
CID-714822,SID-862091,23380
CID-18653,SID-86587,83210
CID-476678,SID-103218,56441
CID-685362,SID-844908,90126
CID-180478,SID-876113,71205
CID-849159,SID-651393,41257
CID-879780,SID-126569,3409
CID-263463,SID-24545,47330
CID-286344,SID-317637,66948
CID-786880,SID-275151,10408
CID-715248,SID-280816,32902
CID-343492,SID-744676,1204
CID-696472,SID-351070,89130
CID-322395,SID-504613,7341
CID-87617,SID-848665,65077
CID-132543,SID-654928,21270
CID-437607,SID-818118,96305
CID-33157,SID-232311,32867
CID-135799,SID-427998,78018
CID-587566,SID-866212,65078
CID-247369,SID-658522,29918
CID-674897,SID-602606,28596
CID-67495,SID-565662,88630
CID-184014,SID-169627,93921
CID-752765,SID-831351,93012
CID-694887,SID-478518,92828
CID-501520,SID-186724,23704
CID-364,SID-86564,57275
CID-162249,SID-483419,64514
CID-755423,SID-383505,97567
CID-369105,SID-651402,78137
CID-821362,SID-607419,1599
CID-454402,SID-65213,11252
CID-289887,SID-251091,72134
CID-846276,SID-753206,68644
CID-769434,SID-1538,26303
CID-13999,SID-234582,5231
CID-72876,SID-677241,46783
CID-487821,SID-332233,10914
CID-27449,SID-613272,84280
CID-280157,SID-29181,90684
CID-265047,SID-13319,84369
CID-544158,SID-112656,97209
CID-363065,SID-540467,67116
CID-29369,SID-654262,39951
CID-851031,SID-873171,34354
CID-244598,SID-648418,15232
CID-157526,SID-761551,65520
CID-13335,SID-199716,93052
CID-577477,SID-447068,48158
CID-854423,SID-765093,61791
CID-547919,SID-822052,54525
CID-552537,SID-608791,51271
CID-554554,SID-504315,50597
CID-183280,SID-517977,73264
CID-601223,SID-601786,85573
CID-892921,SID-347418,36570
CID-22730,SID-573856,38330
CID-812347,SID-252464,460
CID-270626,SID-247644,92311
CID-98661,SID-337548,48108
CID-601392,SID-62301,93061
CID-428550,SID-52275,20640
CID-459567,SID-456528,67977
CID-341283,SID-584404,36002
CID-511919,SID-850461,74344
CID-791451,SID-235919,47446
CID-879509,SID-103523,74364
CID-8959,SID-320527,48685
CID-210712,SID-247416,84876
CID-555079,SID-656660,90322
CID-642313,SID-320199,69617
CID-179172,SID-541396,32224
CID-245741,SID-417562,60923
CID-199208,SID-877176,29522
CID-380136,SID-654356,61672
CID-33049,SID-146843,81710
CID-552285,SID-129674,17407
CID-232054,SID-372253,1639
CID-575875,SID-121275,30404
CID-657109,SID-360422,16475
CID-302884,SID-777364,48757
CID-513511,SID-611786,3934
CID-170638,SID-330920,92915
CID-658383,SID-334160,97570
CID-814166,SID-276948,5162
CID-455623,SID-315048,67690
CID-187220,SID-530076,9499
CID-488149,SID-384897,68813
CID-601900,SID-835368,25219
CID-308959,SID-86822,72830
CID-2784,SID-607858,87087
CID-517022,SID-396925,18989
CID-250024,SID-31736,62849
CID-64954,SID-896169,17553
CID-79780,SID-537144,36408
CID-365826,SID-821179,81074
CID-687488,SID-307295,33907
CID-489202,SID-531810,25180
CID-41685,SID-700056,81201
CID-727140,SID-809795,53769
CID-892620,SID-474364,30219
CID-227053,SID-856668,4269
CID-823980,SID-587713,20708
CID-453141,SID-42861,90327
CID-94232,SID-446850,11843
CID-747128,SID-443478,44619
CID-251243,SID-656022,40411
CID-887824,SID-839572,51654
CID-799081,SID-745539,84741
CID-741102,SID-237006,27602
CID-226583,SID-79979,76669
CID-152209,SID-768202,18285
CID-649249,SID-844739,14543
CID-119686,SID-825893,32368
CID-404765,SID-175166,21078
CID-349434,SID-511262,62760
CID-355169,SID-851881,97769
CID-755056,SID-302442,37514
CID-282565,SID-682002,13894
CID-428911,SID-121380,10108
CID-609533,SID-163347,35870
CID-514745,SID-138276,54715
CID-239080,SID-515979,53905
CID-895780,SID-476823,50969
CID-483411,SID-292129,96543
CID-21212,SID-353267,95233
CID-86263,SID-379851,91037
CID-535682,SID-777666,20334
CID-529969,SID-241995,85962
CID-484286,SID-826695,38258
CID-144906,SID-651363,32832
CID-635849,SID-649960,96458
CID-616129,SID-844789,2014
CID-544023,SID-164252,17971
CID-682937,SID-484048,49874
CID-737511,SID-339549,23606
CID-540788,SID-516511,15089
CID-513144,SID-333541,74878
CID-115218,SID-451093,75086
CID-341078,SID-106847,1970
CID-674320,SID-276656,35616
CID-113446,SID-888972,39909
